[24027, 16230] 448
[26039, 16230] 488
[23295, 16230] 402
[20079, 16230] 196
[21061, 16230] 330
[20745, 16230] 382
[21300, 16230] 360
[18954, 16230] 156
[19484, 16230] 178
[28619, 16230] 716
[30162, 16230] 818
[32062, 16230] 832
[30155, 16230] 820
[30329, 16230] 710
[32202, 16230] 828
[32746, 16230] 1284
[10955, 8643] 490
[11356, 8643] 464
[12593, 8643] 444
[13107, 8643] 440
[16008, 8643] 404
[12670, 8643] 412
[11407, 8643] 464
[11087, 8643] 496
[15365, 8643] 402
[13420, 8643] 412
[14140, 8643] 270
[17207, 8643] 230
[15728, 8643] 424
[18089, 8643] 666
[20006, 8643] 676
[18703, 8643] 562
[18458, 8643] 668
[19155, 8643] 666
[19039, 8643] 336
[27386, 8643] 706
[21116, 8643] 694
[24352, 8643] 736
[23742, 8643] 734
[20848, 8643] 366
[23411, 8643] 492
[23994, 8643] 618
[27316, 8643] 782
[27411, 8643] 740
[27395, 8643] 744
[25182, 8643] 698
[25498, 8643] 770
[27376, 8643] 702
[24027, 8643] 642
[26039, 8643] 682
[23295, 8643] 596
[20079, 8643] 390
[21061, 8643] 524
[20745, 8643] 576
[21300, 8643] 554
[18954, 8643] 350
[19484, 8643] 372
[28619, 8643] 910
[30162, 8643] 1012
[32062, 8643] 1026
[30155, 8643] 1014
[30329, 8643] 904
[32202, 8643] 1022
[32746, 8643] 1478
[11356, 10955] 74
[12593, 10955] 118
[13107, 10955] 114
[16008, 10955] 130
[12670, 10955] 106
[11407, 10955] 74
[11087, 10955] 50
[15365, 10955] 128
[13420, 10955] 106
[14140, 10955] 232
[17207, 10955] 328
[15728, 10955] 134
[18089, 10955] 844
[20006, 10955] 778
[18703, 10955] 664
[18458, 10955] 818
[19155, 10955] 768
[19039, 10955] 438
[27386, 10955] 808
[21116, 10955] 796
[24352, 10955] 838
[23742, 10955] 836
[20848, 10955] 468
[23411, 10955] 594
[23994, 10955] 720
[27316, 10955] 884
[27411, 10955] 842
[27395, 10955] 846
[25182, 10955] 800
[25498, 10955] 872
[27376, 10955] 804
[24027, 10955] 744
[26039, 10955] 784
[23295, 10955] 698
[20079, 10955] 492
[21061, 10955] 626
[20745, 10955] 678
[21300, 10955] 656
[18954, 10955] 452
[19484, 10955] 474
[28619, 10955] 1012
[30162, 10955] 1114
[32062, 10955] 1128
[30155, 10955] 1116
[30329, 10955] 1006
[32202, 10955] 1124
[32746, 10955] 1580
[12593, 11356] 88
[13107, 11356] 84
[16008, 11356] 104
[12670, 11356] 80
[11407, 11356] 48
[11087, 11356] 80
[15365, 11356] 102
[13420, 11356] 80
[14140, 11356] 206
[17207, 11356] 302
[15728, 11356] 104
[18089, 11356] 818
[20006, 11356] 752
[18703, 11356] 638
[18458, 11356] 792
[19155, 11356] 742
[19039, 11356] 412
[27386, 11356] 782
[21116, 11356] 770
[24352, 11356] 812
[23742, 11356] 810
[20848, 11356] 442
[23411, 11356] 568
[23994, 11356] 694
[27316, 11356] 858
[27411, 11356] 816
[27395, 11356] 820
[25182, 11356] 774
[25498, 11356] 846
[27376, 11356] 778
[24027, 11356] 718
[26039, 11356] 758
[23295, 11356] 672
[20079, 11356] 466
[21061, 11356] 600
[20745, 11356] 652
[21300, 11356] 630
[18954, 11356] 426
[19484, 11356] 448
[28619, 11356] 986
[30162, 11356] 1088
[32062, 11356] 1102
[30155, 11356] 1090
[30329, 11356] 980
[32202, 11356] 1098
[32746, 11356] 1554
[13107, 12593] 20
[16008, 12593] 84
[12670, 12593] 60
[11407, 12593] 92
[11087, 12593] 124
[15365, 12593] 82
[13420, 12593] 60
[14140, 12593] 186
[17207, 12593] 282
[15728, 12593] 60
[18089, 12593] 798
[20006, 12593] 732
[18703, 12593] 618
[18458, 12593] 772
[19155, 12593] 722
[19039, 12593] 392
[27386, 12593] 762
[21116, 12593] 750
[24352, 12593] 792
[23742, 12593] 790
[20848, 12593] 422
[23411, 12593] 548
[23994, 12593] 674
[27316, 12593] 838
[27411, 12593] 796
[27395, 12593] 800
[25182, 12593] 754
[25498, 12593] 826
[27376, 12593] 758
[24027, 12593] 698
[26039, 12593] 738
[23295, 12593] 652
[20079, 12593] 446
[21061, 12593] 580
[20745, 12593] 632
[21300, 12593] 610
[18954, 12593] 406
[19484, 12593] 428
[28619, 12593] 966
[30162, 12593] 1068
[32062, 12593] 1082
[30155, 12593] 1070
[30329, 12593] 960
[32202, 12593] 1078
[32746, 12593] 1534
[16008, 13107] 80
[12670, 13107] 56
[11407, 13107] 88
[11087, 13107] 120
[15365, 13107] 78
[13420, 13107] 56
[14140, 13107] 182
[17207, 13107] 278
[15728, 13107] 56
[18089, 13107] 794
[20006, 13107] 728
[18703, 13107] 614
[18458, 13107] 768
[19155, 13107] 718
[19039, 13107] 388
[27386, 13107] 758
[21116, 13107] 746
[24352, 13107] 788
[23742, 13107] 786
[20848, 13107] 418
[23411, 13107] 544
[23994, 13107] 670
[27316, 13107] 834
[27411, 13107] 792
[27395, 13107] 796
[25182, 13107] 750
[25498, 13107] 822
[27376, 13107] 754
[24027, 13107] 694
[26039, 13107] 734
[23295, 13107] 648
[20079, 13107] 442
[21061, 13107] 576
[20745, 13107] 628
[21300, 13107] 606
[18954, 13107] 402
[19484, 13107] 424
[28619, 13107] 962
[30162, 13107] 1064
[32062, 13107] 1078
[30155, 13107] 1066
[30329, 13107] 956
[32202, 13107] 1074
[32746, 13107] 1530
[12670, 16008] 56
[11407, 16008] 104
[11087, 16008] 136
[15365, 16008] 14
[13420, 16008] 56
[14140, 16008] 146
[17207, 16008] 242
[15728, 16008] 52
[18089, 16008] 758
[20006, 16008] 692
[18703, 16008] 578
[18458, 16008] 732
[19155, 16008] 682
[19039, 16008] 352
[27386, 16008] 722
[21116, 16008] 710
[24352, 16008] 752
[23742, 16008] 750
[20848, 16008] 382
[23411, 16008] 508
[23994, 16008] 634
[27316, 16008] 798
[27411, 16008] 756
[27395, 16008] 760
[25182, 16008] 714
[25498, 16008] 786
[27376, 16008] 718
[24027, 16008] 658
[26039, 16008] 698
[23295, 16008] 612
[20079, 16008] 406
[21061, 16008] 540
[20745, 16008] 592
[21300, 16008] 570
[18954, 16008] 366
[19484, 16008] 388
[28619, 16008] 926
[30162, 16008] 1028
[32062, 16008] 1042
[30155, 16008] 1030
[30329, 16008] 920
[32202, 16008] 1038
[32746, 16008] 1494
[11407, 12670] 80
[11087, 12670] 112
[15365, 12670] 54
[13420, 12670] 20
[14140, 12670] 154
[17207, 12670] 250
[15728, 12670] 76
[18089, 12670] 766
[20006, 12670] 700
[18703, 12670] 586
[18458, 12670] 740
[19155, 12670] 690
[19039, 12670] 360
[27386, 12670] 730
[21116, 12670] 718
[24352, 12670] 760
[23742, 12670] 758
[20848, 12670] 390
[23411, 12670] 516
