[14140, 11087] 238
[17207, 11087] 334
[15728, 11087] 140
[18089, 11087] 850
[19039, 11087] 444
[24352, 11087] 844
[23742, 11087] 842
[20848, 11087] 474
[23411, 11087] 600
[27316, 11087] 890
[27395, 11087] 852
[25182, 11087] 806
[25498, 11087] 878
[24027, 11087] 750
[23295, 11087] 704
[20079, 11087] 498
[18954, 11087] 458
[28619, 11087] 1018
[32062, 11087] 1134
[30329, 11087] 1012
[32202, 11087] 1130
[32746, 11087] 1586
[14140, 15365] 144
[17207, 15365] 240
[15728, 15365] 50
[18089, 15365] 756
[19039, 15365] 350
[24352, 15365] 750
[23742, 15365] 748
[20848, 15365] 380
[23411, 15365] 506
[27316, 15365] 796
[27395, 15365] 758
[25182, 15365] 712
[25498, 15365] 784
[24027, 15365] 656
[23295, 15365] 610
[20079, 15365] 404
[18954, 15365] 364
[28619, 15365] 924
[32062, 15365] 1040
[30329, 15365] 918
[32202, 15365] 1036
[32746, 15365] 1492
[17207, 14140] 108
[15728, 14140] 166
[18089, 14140] 624
[19039, 14140] 218
[24352, 14140] 618
[23742, 14140] 616
[20848, 14140] 248
[23411, 14140] 374
[27316, 14140] 664
[27395, 14140] 626
[25182, 14140] 580
[25498, 14140] 652
[24027, 14140] 524
[23295, 14140] 478
[20079, 14140] 272
[18954, 14140] 232
[28619, 14140] 792
[32062, 14140] 908
[30329, 14140] 786
[32202, 14140] 904
[32746, 14140] 1360
[15728, 17207] 262
[18089, 17207] 556
[19039, 17207] 138
[24352, 17207] 550
[23742, 17207] 548
[20848, 17207] 168
[23411, 17207] 294
[27316, 17207] 596
[27395, 17207] 558
[25182, 17207] 512
[25498, 17207] 584
[24027, 17207] 456
[23295, 17207] 410
[20079, 17207] 204
[18954, 17207] 160
[28619, 17207] 724
[32062, 17207] 840
[30329, 17207] 718
[32202, 17207] 836
[32746, 17207] 1292
[18089, 15728] 778
[19039, 15728] 372
[24352, 15728] 772
[23742, 15728] 770
[20848, 15728] 402
[23411, 15728] 528
[27316, 15728] 818
[27395, 15728] 780
[25182, 15728] 734
[25498, 15728] 806
[24027, 15728] 678
[23295, 15728] 632
[20079, 15728] 426
[18954, 15728] 386
[28619, 15728] 946
[32062, 15728] 1062
[30329, 15728] 940
[32202, 15728] 1058
[32746, 15728] 1514
[19039, 18089] 542
[24352, 18089] 238
[23742, 18089] 236
[20848, 18089] 612
[23411, 18089] 798
[27316, 18089] 628
[27395, 18089] 590
[25182, 18089] 544
[25498, 18089] 616
[24027, 18089] 488
[23295, 18089] 442
[20079, 18089] 484
[18954, 18089] 520
[28619, 18089] 384
[32062, 18089] 856
[30329, 18089] 734
[32202, 18089] 852
[32746, 18089] 952
[24352, 19039] 476
[23742, 19039] 474
[20848, 19039] 86
[23411, 19039] 280
[27316, 19039] 478
[27395, 19039] 440
[25182, 19039] 394
[25498, 19039] 466
[24027, 19039] 338
[23295, 19039] 292
[20079, 19039] 86
[18954, 19039] 42
[28619, 19039] 642
[32062, 19039] 722
[30329, 19039] 600
[32202, 19039] 718
[32746, 19039] 1222
[23742, 24352] 18
[20848, 24352] 546
[23411, 24352] 736
[27316, 24352] 562
[27395, 24352] 524
[25182, 24352] 478
[25498, 24352] 550
[24027, 24352] 422
[23295, 24352] 376
[20079, 24352] 418
[18954, 24352] 454
[28619, 24352] 198
[32062, 24352] 670
[30329, 24352] 548
[32202, 24352] 666
[32746, 24352] 866
[20848, 23742] 544
[23411, 23742] 734
[27316, 23742] 560
[27395, 23742] 522
[25182, 23742] 476
[25498, 23742] 548
[24027, 23742] 420
[23295, 23742] 374
[20079, 23742] 416
[18954, 23742] 452
[28619, 23742] 200
[32062, 23742] 672
[30329, 23742] 550
[32202, 23742] 668
[32746, 23742] 868
[23411, 20848] 310
[27316, 20848] 548
[27395, 20848] 510
[25182, 20848] 464
[25498, 20848] 536
[24027, 20848] 408
[23295, 20848] 362
[20079, 20848] 156
[18954, 20848] 112
[28619, 20848] 712
[32062, 20848] 792
[30329, 20848] 670
[32202, 20848] 788
[32746, 20848] 1292
[27316, 23411] 738
[27395, 23411] 700
[25182, 23411] 654
[25498, 23411] 726
[24027, 23411] 598
[23295, 23411] 552
[20079, 23411] 346
[18954, 23411] 302
[28619, 23411] 902
[32062, 23411] 982
[30329, 23411] 860
[32202, 23411] 978
[32746, 23411] 1482
[27395, 27316] 114
[25182, 27316] 116
[25498, 27316] 56
[24027, 27316] 180
[23295, 27316] 218
[20079, 27316] 420
[18954, 27316] 456
[28619, 27316] 480
[32062, 27316] 392
[30329, 27316] 270
[32202, 27316] 388
[32746, 27316] 1308
[25182, 27395] 78
[25498, 27395] 114
[24027, 27395] 142
[23295, 27395] 180
[20079, 27395] 382
[18954, 27395] 418
[28619, 27395] 426
[32062, 27395] 322
[30329, 27395] 200
[32202, 27395] 318
[32746, 27395] 1270
[25498, 25182] 104
[24027, 25182] 96
[23295, 25182] 134
[20079, 25182] 336
[18954, 25182] 372
[28619, 25182] 428
[32062, 25182] 360
[30329, 25182] 238
[32202, 25182] 356
[32746, 25182] 1224
[24027, 25498] 168
[23295, 25498] 206
[20079, 25498] 408
[18954, 25498] 444
[28619, 25498] 480
[32062, 25498] 392
[30329, 25498] 270
[32202, 25498] 388
[32746, 25498] 1296
[23295, 24027] 78
[20079, 24027] 280
[18954, 24027] 316
[28619, 24027] 480
[32062, 24027] 424
[30329, 24027] 302
[32202, 24027] 420
[32746, 24027] 1168
[20079, 23295] 234
[18954, 23295] 270
[28619, 23295] 490
[32062, 23295] 462
[30329, 23295] 340
[32202, 23295] 458
[32746, 23295] 1122
[18954, 20079] 64
[28619, 20079] 584
[32062, 20079] 664
[30329, 20079] 542
[32202, 20079] 660
[32746, 20079] 1164
[28619, 18954] 620
[32062, 18954] 700
[30329, 18954] 578
[32202, 18954] 696
[32746, 18954] 1200
[32062, 28619] 544
[30329, 28619] 422
[32202, 28619] 540
[32746, 28619] 976
[30329, 32062] 186
[32202, 32062] 28
[32746, 32062] 1448
[32202, 30329] 182
[32746, 30329] 1326
[32746, 32202] 1444
