		ˆÚ“®‹——£	ˆÚ“®‘¬“x	ˆÚ“®ŽžŠÔ
[15728	18089]	718	1.1	10.87878788
[15728	24352]	740	1.1	11.21212121
[15728	23742]	722	1.1	10.93939394
[15728	23411]	504	1.1	7.636363636
[15728	24027]	618	1.1	9.363636364
[15728	23295]	588	1.1	8.909090909
[15728	28619]	914	1.1	13.84848485
[15728	32746]	1482	1.1	22.45454545
[18089	8211]	576	1.1	8.727272727
[18089	7823]	494	1.1	7.484848485
[18089	6679]	538	1.1	8.151515152
[18089	4626]	620	1.1	9.393939394
[18089	7671]	586	1.1	8.878787879
[18089	1592]	784	1.1	11.87878788
[18089	1813]	746	1.1	11.3030303
[18089	8169]	614	1.1	9.303030303
[18089	10635]	634	1.1	9.606060606
[18089	8236]	584	1.1	8.848484848
[18089	6205]	684	1.1	10.36363636
[18089	6686]	680	1.1	10.3030303
[18089	8643]	614	1.1	9.303030303
[18089	11087]	758	1.1	11.48484848
[18089	14140]	572	1.1	8.666666667
[18089	15728]	718	1.1	10.87878788
[18089	24352]	218	1.1	3.303030303
[18089	23742]	200	1.1	3.03030303
[18089	23411]	710	1.1	10.75757576
[18089	24027]	420	1.1	6.363636364
[18089	23295]	390	1.1	5.909090909
[18089	28619]	364	1.1	5.515151515
[18089	32746]	932	1.1	14.12121212
[24352	8211]	726	1.1	11
[24352	7823]	644	1.1	9.757575758
[24352	6679]	688	1.1	10.42424242
[24352	4626]	770	1.1	11.66666667
[24352	7671]	736	1.1	11.15151515
[24352	1592]	928	1.1	14.06060606
[24352	1813]	896	1.1	13.57575758
[24352	8169]	724	1.1	10.96969697
[24352	10635]	664	1.1	10.06060606
[24352	8236]	694	1.1	10.51515152
[24352	6205]	794	1.1	12.03030303
[24352	6686]	790	1.1	11.96969697
[24352	8643]	716	1.1	10.84848485
[24352	11087]	780	1.1	11.81818182
[24352	14140]	598	1.1	9.060606061
[24352	15728]	740	1.1	11.21212121
[24352	18089]	218	1.1	3.303030303
[24352	23742]	18	1.1	0.272727273
[24352	23411]	684	1.1	10.36363636
[24352	24027]	394	1.1	5.96969697
[24352	23295]	364	1.1	5.515151515
[24352	28619]	174	1.1	2.636363636
[24352	32746]	842	1.1	12.75757576
[23742	8211]	708	1.1	10.72727273
[23742	7823]	626	1.1	9.484848485
[23742	6679]	670	1.1	10.15151515
[23742	4626]	752	1.1	11.39393939
[23742	7671]	718	1.1	10.87878788
[23742	1592]	910	1.1	13.78787879
[23742	1813]	878	1.1	13.3030303
[23742	8169]	706	1.1	10.6969697
[23742	10635]	646	1.1	9.787878788
[23742	8236]	676	1.1	10.24242424
[23742	6205]	776	1.1	11.75757576
[23742	6686]	772	1.1	11.6969697
[23742	8643]	698	1.1	10.57575758
[23742	11087]	762	1.1	11.54545455
[23742	14140]	580	1.1	8.787878788
[23742	15728]	722	1.1	10.93939394
[23742	18089]	200	1.1	3.03030303
[23742	24352]	18	1.1	0.272727273
[23742	23411]	666	1.1	10.09090909
[23742	24027]	376	1.1	5.696969697
[23742	23295]	346	1.1	5.242424242
[23742	28619]	192	1.1	2.909090909
[23742	32746]	860	1.1	13.03030303
[23411	8211]	746	1.1	11.3030303
[23411	7823]	664	1.1	10.06060606
[23411	6679]	708	1.1	10.72727273
[23411	4626]	790	1.1	11.96969697
[23411	7671]	756	1.1	11.45454545
[23411	1592]	708	1.1	10.72727273
[23411	1813]	714	1.1	10.81818182
[23411	8169]	492	1.1	7.454545455
[23411	10635]	428	1.1	6.484848485
[23411	8236]	502	1.1	7.606060606
[23411	6205]	574	1.1	8.696969697
[23411	6686]	570	1.1	8.636363636
[23411	8643]	480	1.1	7.272727273
[23411	11087]	544	1.1	8.242424242
[23411	14140]	362	1.1	5.484848485
[23411	15728]	504	1.1	7.636363636
[23411	18089]	710	1.1	10.75757576
[23411	24352]	684	1.1	10.36363636
[23411	23742]	666	1.1	10.09090909
[23411	24027]	514	1.1	7.787878788
[23411	23295]	484	1.1	7.333333333
[23411	28619]	858	1.1	13
[23411	32746]	1426	1.1	21.60606061
[24027	8211]	748	1.1	11.33333333
[24027	7823]	666	1.1	10.09090909
[24027	6679]	710	1.1	10.75757576
[24027	4626]	792	1.1	12
[24027	7671]	758	1.1	11.48484848
[24027	1592]	822	1.1	12.45454545
[24027	1813]	828	1.1	12.54545455
[24027	8169]	606	1.1	9.181818182
[24027	10635]	542	1.1	8.212121212
[24027	8236]	616	1.1	9.333333333
[24027	6205]	688	1.1	10.42424242
[24027	6686]	684	1.1	10.36363636
[24027	8643]	594	1.1	9
[24027	11087]	658	1.1	9.96969697
[24027	14140]	476	1.1	7.212121212
[24027	15728]	618	1.1	9.363636364
[24027	18089]	420	1.1	6.363636364
[24027	24352]	394	1.1	5.96969697
[24027	23742]	376	1.1	5.696969697
[24027	23411]	514	1.1	7.787878788
[24027	23295]	30	1.1	0.454545455
[24027	28619]	452	1.1	6.848484848
[24027	32746]	1136	1.1	17.21212121
[23295	8211]	718	1.1	10.87878788
[23295	7823]	636	1.1	9.636363636
[23295	6679]	680	1.1	10.3030303
[23295	4626]	762	1.1	11.54545455
[23295	7671]	728	1.1	11.03030303
[23295	1592]	792	1.1	12
[23295	1813]	798	1.1	12.09090909
[23295	8169]	576	1.1	8.727272727
[23295	10635]	512	1.1	7.757575758
[23295	8236]	586	1.1	8.878787879
[23295	6205]	658	1.1	9.96969697
[23295	6686]	654	1.1	9.909090909
[23295	8643]	564	1.1	8.545454545
[23295	11087]	628	1.1	9.515151515
[23295	14140]	446	1.1	6.757575758
[23295	15728]	588	1.1	8.909090909
[23295	18089]	390	1.1	5.909090909
[23295	24352]	364	1.1	5.515151515
[23295	23742]	346	1.1	5.242424242
[23295	23411]	484	1.1	7.333333333
[23295	24027]	30	1.1	0.454545455
[23295	28619]	458	1.1	6.939393939
[23295	32746]	1106	1.1	16.75757576
[28619	8211]	896	1.1	13.57575758
[28619	7823]	814	1.1	12.33333333
[28619	6679]	858	1.1	13
[28619	4626]	940	1.1	14.24242424
[28619	7671]	906	1.1	13.72727273
[28619	1592]	1102	1.1	16.6969697
[28619	1813]	1066	1.1	16.15151515
[28619	8169]	898	1.1	13.60606061
[28619	10635]	838	1.1	12.6969697
[28619	8236]	868	1.1	13.15151515
[28619	6205]	968	1.1	14.66666667
[28619	6686]	964	1.1	14.60606061
[28619	8643]	890	1.1	13.48484848
[28619	11087]	954	1.1	14.45454545
[28619	14140]	772	1.1	11.6969697
[28619	15728]	914	1.1	13.84848485
[28619	18089]	364	1.1	5.515151515
[28619	24352]	174	1.1	2.636363636
[28619	23742]	192	1.1	2.909090909
[28619	23411]	858	1.1	13
[28619	24027]	452	1.1	6.848484848
[28619	23295]	458	1.1	6.939393939
[28619	32746]	956	1.1	14.48484848
[32746	8211]	1464	1.1	22.18181818
[32746	7823]	1382	1.1	20.93939394
[32746	6679]	1426	1.1	21.60606061
[32746	4626]	1508	1.1	22.84848485
[32746	7671]	1474	1.1	22.33333333
[32746	1592]	1670	1.1	25.3030303
[32746	1813]	1634	1.1	24.75757576
[32746	8169]	1466	1.1	22.21212121
[32746	10635]	1406	1.1	21.3030303
[32746	8236]	1436	1.1	21.75757576
[32746	6205]	1536	1.1	23.27272727
[32746	6686]	1532	1.1	23.21212121
[32746	8643]	1458	1.1	22.09090909
[32746	11087]	1522	1.1	23.06060606
[32746	14140]	1340	1.1	20.3030303
[32746	15728]	1482	1.1	22.45454545
[32746	18089]	932	1.1	14.12121212
[32746	24352]	842	1.1	12.75757576
[32746	23742]	860	1.1	13.03030303
[32746	23411]	1426	1.1	21.60606061
[32746	24027]	1136	1.1	17.21212121
[32746	23295]	1106	1.1	16.75757576
[32746	28619]	956	1.1	14.48484848
